	0
METenh:cg09634659	22.679551820728292
EXPR:CPXM2	22.581202233980015
METenh:cg06494284	21.855238095238096
METenh:cg09295413	21.726610644257704
METpro:cg26268276	21.580618212197162
METenh:cg02770628	21.299916457811193
METenh:cg05859465	21.10812324929972
METenh:cg03955537	20.728888888888886
METenh:cg19516108	20.57310924369748
METenh:cg19380996	20.57310924369748
METenh:cg07215487	20.345238095238095
METenh:cg16072009	20.161403508771933
METpro:cg05930438	20.032492997198876
METenh:cg01631946	19.955555555555556
METbod:cg22802746	19.898039215686275
METbod:cg09606832	19.8312447786132
METbod:cg06776703	19.687025049254153
METpro:cg08633209	19.666666666666664
METenh:cg27410123	19.642105263157898
METenh:cg00625436	19.6
METenh:cg08054209	19.47537292428933
METbod:cg24937727	19.011904761904763
METbod:cg13502568	19.01052631578947
METenh:cg20268689	18.916666666666664
METbod:cg27622586	18.886363636363637
METenh:cg00553187	18.83636363636364
METpro:cg05899869	18.836363636363636
METpro:cg07483086	18.836363636363636
METenh:cg13757089	18.8359133126935
METpro:cg26156626	18.747368421052634
METenh:cg11559048	18.70175438596491
METenh:cg20155875	18.58813700918964
METenh:cg17462560	18.313725490196077
METenh:cg26125690	18.295538505257177
METenh:cg25845650	18.28888888888889
METbod:cg16556145	18.243174781874473
METpro:cg12929297	18.24317478187447
METenh:cg02419835	18.157894736842106
METenh:cg14043872	18.154761904761905
METpro:cg14901243	18.10909090909091
METenh:cg04426621	18.10909090909091
METbod:cg09044138	18.10909090909091
METbod:cg10432662	17.988795518207283
METenh:cg24609626	17.971595655806183
METpro:cg03894174	17.905263157894737
METenh:cg11120154	17.789473684210527
METenh:cg04636407	17.715555555555554
METenh:cg25428389	17.621052631578948
METenh:cg25923060	17.619411764705884
METbod:cg16094145	17.61384439359268
METenh:cg27353926	17.388888888888886
METenh:cg19078878	17.289002557544755
METbod:cg04428071	17.278991596638654
METenh:cg11404195	17.22222222222222
METenh:cg17360377	17.131313131313128
EXPR:IL1R1	17.052101704879483
METenh:cg11944045	17.047619047619047
EXPR:MYBL2	16.996459402474443
METenh:cg17656763	16.977443609022558
METenh:cg18157738	16.977443609022558
EXPR:MATN4	16.958666182522396
METenh:cg16867680	16.94235588972431
METpro:cg25343618	16.94235588972431
METenh:cg05110377	16.94235588972431
METenh:cg01011165	16.94235588972431
METenh:cg04348677	16.926406926406926
METbod:cg02320862	16.926406926406926
METenh:cg24561412	16.80875248650185
METenh:cg12949461	16.796638655462186
METbod:cg02637318	16.796638655462186
METpro:cg06373377	16.777272727272727
METpro:cg15298875	16.777272727272727
METbod:cg04550052	16.68888888888889
METenh:cg00732043	16.687370600414077
METpro:cg06574716	16.687370600414077
METbod:cg14913284	16.642105263157895
METenh:cg09378846	16.547314578005114
EXPR:UBE2C	16.40566259398496
METbod:cg25370753	16.34252297410192
METpro:cg22052514	16.323232323232325
METbod:cg20497956	16.296103896103897
METenh:cg27377114	16.29120879120879
EXPR:SAA2	16.283933326416985
METenh:cg27228272	16.242562929061783
EXPR:STEAP2	16.230773470356805
METbod:cg18554732	16.222222222222225
EXPR:BHLHE22	16.219673054406947
METenh:cg25124440	16.194202082746976
METpro:cg13900350	16.095238095238095
METbod:cg00875805	16.091316526610647
METenh:cg24568517	16.091316526610647
METenh:cg22602379	16.09109730848861
METenh:cg15735370	16.08080808080808
METbod:cg16410341	16.0
METenh:cg11060604	15.96923076923077
METbod:cg11827910	15.888036373969879
METenh:cg03706769	15.888036373969879
METenh:cg12428339	15.881216254617788
EXPR:IGF2BP2	15.872032454957292
METbod:cg13008207	15.813725490196079
METenh:cg27312312	15.80692372642837
METbod:ch.5.673290R	15.801169590643275
METpro:cg06523901	15.801169590643273
METenh:cg23147926	15.7979797979798
METbod:cg19661311	15.755182072829133
EXPR:NEIL3	15.681680079439184
METenh:cg26879131	15.581780538302276
METenh:cg25219329	15.52923076923077
METenh:cg03564727	15.463157894736842
METenh:cg00605342	15.463157894736842
EXPR:ZNF695	15.454763451839474
METbod:cg14093715	15.42426825802785
METenh:cg02062632	15.406649616368286
METbod:cg04646987	15.395445134575569
METenh:cg11109077	15.378947368421056
METenh:cg15809077	15.378947368421056
EXPR:PLEKHS1	15.37737780297304
METbod:cg27260772	15.365266106442578
METenh:cg16256383	15.365266106442576
METenh:cg13166992	15.365266106442576
METenh:cg00283409	15.353535353535353
METenh:cg20423899	15.353535353535353
METbod:cg23536473	15.27099567099567
EXPR:LOXL2	15.253527336860671
METbod:cg20293609	15.2
METbod:cg15974634	15.161125319693095
METenh:cg17469895	15.155555555555559
METenh:cg26114999	15.155555555555559
METenh:cg21043581	15.135087719298246
METbod:cg09006667	15.135087719298246
METbod:cg17386213	15.135087719298244
METenh:cg09182455	15.116883116883116
EXPR:CDC20	15.05144032921811
METbod:cg08269200	15.015686274509806
METenh:cg27599008	15.015686274509806
METenh:cg21942644	15.015686274509804
METbod:cg11891579	15.000000000000002
METenh:cg12185473	15.0
METenh:cg08939788	15.0
METpro:cg12052203	15.0
METenh:cg19284571	14.989586265128061
METenh:cg00687889	14.989586265128061
METenh:cg22186387	14.95909090909091
METenh:cg17983997	14.959090909090909
METpro:cg13709639	14.957894736842105
METenh:cg25491681	14.957894736842103
METbod:cg11666486	14.931607092597805
METpro:cg05499621	14.931607092597805
METbod:cg11785652	14.931607092597805
METenh:cg09125248	14.909090909090908
METenh:cg01695620	14.909090909090908
METenh:cg19451168	14.909090909090907
METpro:cg06300886	14.878863826232248
METbod:cg12028548	14.862268166615992
METenh:cg10158330	14.80952380952381
METpro:cg23942974	14.80952380952381
EXPR:IGF1	14.78301408282611
METpro:cg12985929	14.726190476190476
METenh:cg01571580	14.726190476190474
EXPR:IRX5	14.717373791621911
METpro:cg14454798	14.687695368002274
METenh:cg06583209	14.687695368002272
METenh:cg14973142	14.659740259740259
METenh:cg04640637	14.642837039121869
METenh:cg24785663	14.642837039121869
